step,coverage,distance,uncertainty,siren
0,0.0,4.481804540277203,0.002142257555962553,
1,0.0,11.098271597638323,0.002337712698749965,
2,0.0,23.45308027513981,0.0024062369643616773,
3,0.0,28.214349714901804,0.0028033348068536726,
4,0.0,32.688098036524224,0.0031047309825552576,
5,0.0,37.350225031608495,0.003645844348618347,
6,0.0,44.543006961495145,0.004186499565202717,
7,0.0,57.15011480980159,0.004398445788705269,
8,0.0,62.422418724388216,0.0049243024168765664,
9,0.0,71.12233606426345,0.005400850797952282,
10,0.0,75.97095085690076,0.005599315104513921,
11,0.0,84.0600609004102,0.00572803981255921,
12,0.0,89.70025435040282,0.00581117919659656,
13,0.0,97.05094223677337,0.005913631467480445,
14,0.0,102.93727403721488,0.006002475404637516,
