step,coverage,distance,uncertainty,siren
0,0.052945770968778165,5.294577096877816,0.0021408501705471685,
1,0.12438252251610965,12.438252251610965,0.002356327338186222,
2,0.23931395523458143,23.931395523458143,0.002417389218819638,
3,0.2884289240250466,28.84289240250466,0.0027920002345985266,
4,0.33523967718533115,33.523967718533115,0.003106750191752023,
5,0.37964638288577307,37.964638288577305,0.0036281424652387312,
6,0.4581334564546055,45.81334564546055,0.003929026028799773,
7,0.5500294605221278,55.00294605221278,0.004428930530646337,
8,0.6001604785256313,60.016047852563126,0.004886741956696884,
9,0.6811291166035535,68.11291166035535,0.005218987547779559,
10,0.7451431402515474,74.51431402515473,0.005388700290205048,
11,0.8085439697615783,80.85439697615783,0.005499797709057262,
12,0.8662541936569403,86.62541936569403,0.00557148683888372,
13,0.9572419848000314,95.72419848000314,0.005654465430052045,
14,1.0,100.62862680099772,0.005721290610971886,
15,1.0,106.15171160728572,0.005761614144796234,
16,1.0,111.35425560461142,0.005798301926692431,
17,1.0,116.2364174464685,0.005838752934564643,
18,1.0,137.16295414274788,0.005859428667572017,
19,1.0,165.13306514247793,0.005863953676712764,
20,1.0,174.9086189325417,0.006062169832927045,
21,1.0,194.4060700301089,0.006113019859859358,
