step,coverage,distance,uncertainty,siren
0,0.0,6.081057202503958,0.0021417636044278173,
1,0.0,14.584238207801931,0.0023722703761249755,
2,0.0,19.381613062497564,0.0027964882404850665,
3,0.0,24.425882390582338,0.0029137313121732505,
4,0.0,29.187470805589314,0.003340245529960763,
5,0.0,33.836666821518506,0.0038652330386759583,
6,0.0,45.03397164712695,0.004361531838506279,
7,0.0,57.49643237338377,0.004461166675401748,
8,0.000175,62.216976290998616,0.005061561280529713,
9,0.000175,73.1163687516314,0.005288679610615105,
10,0.0,92.52378427400618,0.005715519590145818,
11,0.0,105.31679317211524,0.005729636760906497,
12,0.0,112.71746934409481,0.006048122527141176,
13,0.0,121.05410297859075,0.006219763470746047,
14,0.0,125.74571539807224,0.006542852011865923,
15,0.0,139.9302664590218,0.006950527196980935,
16,0.0,152.37433068557098,0.006995645603936929,
17,0.0,157.52016506018296,0.007180629845369387,
18,0.0,164.36982919293894,0.007345130894439191,
19,0.0,177.81519707192237,0.007567109106380506,
20,0.0,205.89672365182895,0.00768398239880755,
21,0.0,218.73726578830318,0.007862943249126935,
22,0.0,240.23045409002077,0.00790601519397751,
